"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"34","34","2018-12-26","@","CHI","W","119","94","46","93",".495","11","32",".344","16","19",".842","12","52","26","4","1","11","15","","39","95",".411","6","23",".261","10","16",".625","12","45","22","6","5","10","21","121.6","96.0","97.9",".204",".344",".587","53.6","56.5","4.1","1.4","",".554","9.8","26.7",".172","",".442","8.9","76.9",".105"
"35","35","2018-12-28","","ATL","L","120","123","44","98",".449","11","32",".344","21","38",".553","16","47","28","14","9","14","26","","47","100",".470","16","35",".457","13","20",".650","17","58","32","10","6","23","33","108.2","110.9","100.5",".388",".327",".523","44.8","63.6","12.6","13.8","",".505","10.9","28.1",".214","",".550","17.5","64.6",".130"
"36","36","2018-12-30","@","MIA","W","113","104","38","94",".404","8","24",".333","29","36",".806","17","49","24","11","10","10","22","","37","90",".411","8","24",".333","22","28",".786","17","52","19","8","6","19","28","113.4","104.3","99.7",".383",".255",".514","48.5","63.2","11.0","15.2","",".447","8.3","32.7",".309","",".456","15.7","65.3",".244"
"37","37","2018-12-31","@","NOP","L","114","123","43","93",".462","9","28",".321","19","23",".826","12","39","29","10","9","7","18","","45","87",".517","14","25",".560","19","21",".905","11","44","28","3","2","15","21","118.5","127.9","96.2",".247",".301",".553","47.0","67.4","10.4","14.5","",".511","6.4","26.7",".204","",".598","13.5","71.1",".218"
"38","38","2019-01-02","@","BOS","L","102","115","40","84",".476","7","23",".304","15","21",".714","8","34","24","7","2","14","16","","45","76",".592","12","30",".400","13","15",".867","3","33","34","10","9","16","21","106.8","120.4","95.5",".250",".274",".547","50.7","60.0","7.3","4.3","",".518","13.1","21.1",".179","",".671","16.2","89.7",".171"
"39","39","2019-01-04","","ORL","W","120","103","47","91",".516","9","26",".346","17","23",".739","10","54","29","6","2","11","20","","42","88",".477","9","27",".333","10","19",".526","5","35","28","7","7","11","20","119.4","102.5","100.5",".253",".286",".593","60.7","61.7","6.0","3.3","",".566","9.8","25.0",".187","",".528","10.2","89.8",".114"
"40","40","2019-01-06","","LAL","W","108","86","41","89",".461","11","32",".344","15","21",".714","8","50","24","10","9","14","27","","32","87",".368","5","22",".227","17","28",".607","12","48","20","6","4","21","20","103.8","82.6","104.1",".236",".360",".550","51.0","58.5","9.6","13.8","",".522","12.5","18.2",".169","",".397","17.5","77.8",".195"
"41","41","2019-01-08","@","OKC","W","119","117","38","90",".422","11","31",".355","32","40",".800","15","42","25","9","4","10","23","","43","85",".506","12","30",".400","19","26",".731","10","43","22","4","5","16","30","120.3","118.3","98.9",".444",".344",".553","49.4","65.8","9.1","7.3","",".483","8.5","31.3",".356","",".576","14.2","73.0",".224"
"42","42","2019-01-11","","DAL","L","115","119","47","102",".461","10","24",".417","11","13",".846","17","53","27","5","10","13","20","","44","97",".454","13","38",".342","18","24",".750","11","43","25","7","7","7","16","114.9","118.9","100.1",".127",".235",".534","55.2","57.4","5.0","16.9","",".510","10.8","34.7",".108","",".521","6.1","76.6",".186"
"43","43","2019-01-12","","NOP","W","110","106","40","93",".430","11","39",".282","19","24",".792","15","50","23","7","5","13","20","","40","87",".460","5","24",".208","21","24",".875","10","48","22","7","8","15","20","110.0","106.0","100.0",".258",".419",".531","51.0","57.5","7.0","7.9","",".489","11.2","28.3",".204","",".489","13.3","77.8",".241"
"44","44","2019-01-15","@","PHI","L","107","149","35","90",".389","8","23",".348","29","35",".829","9","34","18","10","2","11","19","","55","92",".598","21","43",".488","18","21",".857","8","54","40","6","11","15","29","101.3","141.1","105.6",".389",".256",".508","38.6","51.4","9.5","4.1","",".433","9.5","16.4",".322","",".712","12.9","75.8",".196"
"45","45","2019-01-18","","SAS","L","113","116","37","84",".440","7","26",".269","32","38",".842","10","44","21","5","3","11","28","","41","82",".500","11","24",".458","23","29",".793","9","41","24","3","4","16","25","113.8","116.8","99.3",".452",".310",".561","51.8","56.8","5.0","5.2","",".482","9.8","23.8",".381","",".567","14.4","79.1",".280"
