"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"26","26","2018-12-12","","ATL","W","114","107","35","75",".467","12","34",".353","32","43",".744","4","36","22","13","5","14","16","","43","93",".462","11","33",".333","10","14",".714","16","44","21","7","2","21","30","112.5","105.6","101.3",".573",".453",".607","45.0","62.9","12.8","8.3","",".547","13.0","12.5",".427","",".522","17.5","66.7",".108"
"27","27","2018-12-13","@","PHO","L","89","99","31","78",".397","5","33",".152","22","33",".667","14","53","14","7","4","23","19","","37","92",".402","10","27",".370","15","18",".833","12","40","20","15","5","13","27","90.9","101.1","97.9",".423",".423",".481","57.0","45.2","7.2","6.2","",".429","19.9","33.3",".282","",".457","11.5","76.5",".163"
"28","28","2018-12-16","","SAC","L","113","120","40","96",".417","9","35",".257","24","31",".774","16","53","22","6","5","14","18","","46","98",".469","9","31",".290","19","21",".905","11","47","20","6","7","9","26","109.4","116.2","103.3",".323",".365",".515","53.0","55.0","5.8","7.5","",".464","11.3","30.8",".250","",".515","7.7","77.1",".194"
"29","29","2018-12-18","@","DEN","L","118","126","40","86",".465","15","37",".405","23","30",".767","6","33","26","8","1","8","17","","50","90",".556","12","29",".414","14","18",".778","12","47","33","7","3","15","28","119.3","127.4","98.9",".349",".430",".595","41.3","65.0","8.1","1.6","",".552","7.5","14.6",".267","",".622","13.3","69.2",".156"
"30","30","2018-12-20","@","LAC","L","121","125","43","92",".467","10","28",".357","25","33",".758","16","45","24","8","0","11","30","","47","83",".566","6","20",".300","25","31",".806","11","40","26","5","5","12","25","124.5","128.6","97.2",".359",".304",".568","52.9","55.8","8.2","0.0","",".522","9.4","35.6",".272","",".602","11.0","72.5",".301"
"31","31","2018-12-22","@","GSW","L","116","120","42","92",".457","14","39",".359","18","28",".643","11","46","28","9","3","13","14","","45","98",".459","15","43",".349","15","16",".938","15","54","34","7","7","13","23","113.3","117.2","102.4",".304",".424",".556","46.0","66.7","8.8","5.5","",".533","11.1","22.0",".196","",".536","11.0","70.0",".153"
"32","32","2018-12-23","@","POR","L","118","121","43","103",".417","12","34",".353","20","28",".714","8","49","22","1","2","9","20","","49","104",".471","11","38",".289","12","17",".706","7","53","29","5","6","9","26","104.9","107.6","101.8",".272",".330",".512","48.0","51.2","0.9","3.0","",".476","7.2","14.8",".194","",".524","7.5","85.4",".115"
"33","33","2018-12-26","","NOP","W","122","119","39","81",".481","12","35",".343","32","38",".842","8","46","23","3","13","12","25","","42","90",".467","12","27",".444","23","30",".767","7","39","25","4","2","10","27","120.1","117.1","101.6",".469",".432",".624","54.1","59.0","3.0","20.6","",".556","10.9","20.0",".395","",".533","8.8","84.4",".256"
"34","34","2018-12-28","@","NOP","L","112","114","37","78",".474","15","32",".469","23","33",".697","11","39","19","7","6","16","22","","44","96",".458","4","23",".174","22","27",".815","20","49","22","7","4","11","28","118.0","120.2","94.9",".423",".410",".605","44.3","51.4","7.4","8.2","",".571","14.7","27.5",".295","",".479","9.3","58.3",".229"
"35","35","2018-12-30","","OKC","W","105","103","37","81",".457","14","39",".359","17","22",".773","9","49","21","8","3","23","19","","40","93",".430","9","38",".237","14","21",".667","7","39","17","15","2","11","23","101.7","99.8","103.2",".272",".481",".579","55.7","56.8","7.8","5.5","",".543","20.2","22.0",".210","",".478","9.7","85.1",".151"
