"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"12","12","2018-11-09","","BRK","L","110","112","40","87",".460","5","18",".278","25","34",".735","15","54","20","3","5","12","28","","36","88",".409","12","33",".364","28","42",".667","12","42","21","7","9","8","24","112.5","114.6","97.8",".391",".207",".539","56.3","50.0","3.1","9.1","",".489","10.5","33.3",".287","",".477","7.0","76.5",".318"
"13","13","2018-11-11","","MIL","L","114","121","41","89",".461","18","38",".474","14","20",".700","10","39","27","8","5","10","16","","48","84",".571","17","34",".500","8","13",".615","5","41","27","10","7","12","17","119.1","126.5","95.7",".225",".427",".583","48.8","65.9","8.4","10.0","",".562","9.3","21.7",".157","",".673","11.8","85.3",".095"
"14","14","2018-11-13","","HOU","L","99","109","38","76",".500","11","25",".440","12","16",".750","7","31","27","11","2","16","20","","39","71",".549","13","37",".351","18","26",".692","6","32","23","7","6","14","20","111.0","122.2","89.2",".211",".329",".596","49.2","71.1","12.3","5.9","",".572","16.2","21.2",".158","",".641","14.5","80.0",".254"
"15","15","2018-11-15","","ATL","W","138","93","53","94",".564","13","31",".419","19","25",".760","11","56","34","12","6","15","24","","32","92",".348","9","42",".214","20","27",".741","15","43","20","7","5","19","22","130.0","87.6","106.2",".266",".330",".657","56.6","64.2","11.3","12.0","",".633","12.5","28.2",".202","",".397","15.5","75.0",".217"
"16","16","2018-11-17","@","NOP","L","115","125","46","95",".484","15","39",".385","8","13",".615","10","43","30","5","6","13","23","","42","87",".483","10","25",".400","31","34",".912","10","46","29","6","8","11","18","113.7","123.6","101.1",".137",".411",".571","48.3","65.2","4.9","9.7","",".563","11.4","21.7",".084","",".540","9.7","76.7",".356"
"17","17","2018-11-19","@","MIL","L","98","104","40","94",".426","12","41",".293","6","9",".667","13","43","30","6","4","17","20","","40","88",".455","11","36",".306","13","22",".591","13","51","21","8","3","15","16","99.9","106.0","98.1",".096",".436",".500","45.7","75.0","6.1","7.7","",".489","14.8","25.5",".064","",".517","13.3","69.8",".148"
"18","18","2018-11-21","@","MIN","W","103","101","42","89",".472","14","35",".400","5","6",".833","9","40","29","12","4","13","22","","35","79",".443","9","32",".281","22","26",".846","8","40","24","8","3","17","15","108.4","106.3","95.1",".067",".393",".562","50.0","69.0","12.6","8.5","",".551","12.4","22.0",".056","",".500","15.8","79.5",".278"
"19","19","2018-11-23","","ORL","W","112","87","44","93",".473","9","28",".321","15","17",".882","12","51","33","10","5","11","20","","32","79",".405","8","32",".250","15","19",".789","4","37","24","7","2","13","19","116.8","90.7","95.9",".183",".301",".557","58.0","75.0","10.4","10.6","",".522","9.9","26.7",".161","",".456","13.0","90.7",".190"
"20","20","2018-11-24","@","OKC","W","105","98","39","95",".411","10","30",".333","17","24",".708","15","54","26","6","9","14","20","","37","103",".359","9","39",".231","15","23",".652","19","54","22","9","5","10","24","105.2","98.2","99.8",".253",".316",".497","50.0","66.7","6.0","14.1","",".463","11.7","30.0",".179","",".403","8.1","67.2",".146"
"21","21","2018-11-27","","LAL","W","117","85","47","97",".485","9","25",".360","14","15",".933","16","60","28","7","4","11","17","","34","87",".391","5","35",".143","12","18",".667","8","39","19","5","8","12","19","121.1","88.0","96.6",".155",".258",".565","60.6","59.6","7.2","7.7","",".531","9.6","34.0",".144","",".420","11.2","84.6",".138"
"22","22","2018-11-30","@","POR","W","113","112","40","87",".460","14","30",".467","19","26",".731","13","41","28","11","3","11","21","","45","85",".529","6","22",".273","16","21",".762","12","44","19","7","6","14","23","119.9","118.9","94.2",".299",".345",".574","48.2","70.0","11.7","4.8","",".540","10.1","28.9",".218","",".565","12.9","70.0",".188"
