"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"50","50","2019-01-31","","DAL","W","93","89","33","86",".384","9","33",".273","18","23",".783","15","52","21","5","5","11","24","","36","88",".409","7","25",".280","10","14",".714","11","44","18","2","5","10","21","103.7","99.3","89.7",".267",".384",".484","54.2","63.6","5.6","7.9","",".436","10.3","31.3",".209","",".449","9.6","77.1",".114"
"51","51","2019-02-02","","LAC","L","101","111","35","83",".422","17","42",".405","14","20",".700","7","38","21","6","4","14","27","","40","82",".488","10","20",".500","21","34",".618","11","47","22","5","4","12","24","105.0","115.3","96.2",".241",".506",".550","44.7","60.0","6.2","6.5","",".524","13.2","16.3",".169","",".549","11.0","73.8",".256"
"52","52","2019-02-04","","DEN","W","129","103","48","88",".545","16","37",".432","17","20",".850","16","53","32","8","8","20","20","","41","92",".446","9","28",".321","12","22",".545","10","32","28","10","3","13","19","128.9","102.9","100.1",".227",".420",".666","62.4","66.7","8.0","12.5","",".636","17.1","42.1",".193","",".495","11.3","78.7",".130"
"53","53","2019-02-05","@","NYK","W","105","92","37","79",".468","12","34",".353","19","24",".792","6","41","22","4","7","9","21","","36","90",".400","9","33",".273","11","15",".733","13","44","17","5","4","11","23","115.6","101.3","90.8",".304",".430",".586","48.2","59.5","4.4","12.3","",".544","9.1","16.2",".241","",".450","10.2","72.9",".122"
"54","54","2019-02-08","","NYK","W","120","103","42","86",".488","13","30",".433","23","29",".793","11","46","24","3","6","12","27","","35","78",".449","7","22",".318","26","41",".634","10","39","22","6","5","13","23","123.8","106.3","96.9",".337",".349",".608","54.1","57.1","3.1","10.7","",".564","10.8","27.5",".267","",".494","11.9","77.8",".333"
"55","55","2019-02-11","","WAS","W","121","112","44","85",".518","15","36",".417","18","21",".857","10","48","25","6","2","16","21","","42","84",".500","14","39",".359","14","19",".737","7","37","31","7","5","14","21","122.8","113.7","98.5",".247",".424",".642","56.5","56.8","6.1","4.4","",".606","14.5","25.0",".212","",".583","13.2","84.4",".167"
"56","56","2019-02-13","@","BOS","L","110","118","36","84",".429","13","40",".325","25","34",".735","10","41","19","7","1","11","18","","45","88",".511","16","39",".410","12","15",".800","10","47","32","8","2","16","22","112.0","120.1","98.2",".405",".476",".556","46.6","52.8","7.1","2.0","",".506","10.0","21.3",".298","",".602","14.5","75.6",".136"
"57","57","2019-02-22","@","ATL","W","125","122","46","95",".484","15","40",".375","18","28",".643","10","44","20","11","4","8","21","","43","88",".489","20","42",".476","16","19",".842","10","47","21","6","4","18","24","121.5","118.6","102.9",".295",".421",".582","48.4","43.5","10.7","8.7","",".563","6.9","21.3",".189","",".602","15.7","77.3",".182"
"58","58","2019-02-23","@","MIA","W","119","96","42","80",".525","14","33",".424","21","26",".808","7","41","21","6","5","14","24","","35","82",".427","7","28",".250","19","27",".704","9","33","18","6","6","13","22","124.9","100.8","95.2",".325",".413",".651","55.4","50.0","6.3","9.3","",".613","13.3","22.6",".263","",".470","12.2","79.1",".232"
"59","59","2019-02-25","","IND","W","113","109","39","88",".443","18","41",".439","17","26",".654","15","47","28","8","4","12","20","","40","87",".460","10","26",".385","19","21",".905","12","42","23","8","8","11","23","121.8","117.5","92.8",".295",".466",".568","52.8","71.8","8.6","6.6","",".545","10.8","33.3",".193","",".517","10.3","72.7",".218"
"60","60","2019-02-27","@","SAS","L","93","105","36","100",".360","15","38",".395","6","7",".857","8","41","19","6","3","5","14","","42","81",".519","9","17",".529","12","17",".706","7","55","24","3","7","10","11","98.7","111.4","94.3",".070",".380",".451","42.7","52.8","6.4","4.7","",".435","4.6","14.3",".060","",".574","10.2","82.5",".148"
"61","61","2019-03-02","@","CLE","W","129","93","47","87",".540","20","37",".541","15","17",".882","9","51","27","5","8","9","24","","27","79",".342","13","34",".382","26","32",".813","9","33","15","7","1","12","19","139.4","100.5","92.6",".195",".425",".683","60.7","57.4","5.4","17.8","",".655","8.7","27.3",".172","",".424","11.4","82.4",".329"
"62","62","2019-03-03","","TOR","W","112","107","40","86",".465","12","33",".364","20","29",".690","8","46","25","10","3","15","24","","37","96",".385","14","39",".359","19","24",".792","18","50","22","8","3","15","28","110.3","105.4","92.0",".337",".384",".567","47.9","62.5","9.8","5.3","",".535","13.2","20.0",".233","",".458","12.3","67.9",".198"
"63","63","2019-03-06","","MIN","W","131","114","50","93",".538","14","33",".424","17","22",".773","11","42","29","5","3","5","19","","41","84",".488","12","27",".444","20","21",".952","6","37","25","3","5","13","22","136.0","118.3","96.3",".237",".355",".638","53.2","58.0","5.2","5.3","",".613","4.6","26.2",".183","",".560","12.2","83.8",".238"
"64","64","2019-03-08","@","CHI","W","112","104","45","83",".542","9","27",".333","13","21",".619","7","41","23","5","9","15","19","","42","82",".512","5","17",".294","15","23",".652","8","35","20","9","4","16","18","113.7","105.5","98.5",".253",".325",".607","53.9","51.1","5.1","13.8","",".596","14.0","20.6",".157","",".543","14.8","81.0",".183"
"65","65","2019-03-10","","CHI","W","131","108","49","91",".538","19","35",".543","14","22",".636","10","44","34","5","1","7","24","","41","82",".500","9","18",".500","17","26",".654","6","37","18","4","5","10","18","136.7","112.7","95.8",".242",".385",".651","54.3","69.4","5.2","1.6","",".643","6.5","24.4",".154","",".555","9.7","85.0",".207"
"66","66","2019-03-11","@","BRK","L","75","103","27","97",".278","8","34",".235","13","16",".813","17","49","16","7","3","12","22","","39","79",".494","11","31",".355","14","22",".636","5","53","21","9","4","17","18","77.0","105.7","97.4",".165",".351",".360","48.0","59.3","7.2","6.3","",".320","10.3","26.2",".134","",".563","16.1","86.5",".177"
"67","67","2019-03-13","@","MIA","L","74","108","27","77",".351","8","37",".216","12","18",".667","10","37","20","7","7","17","23","","39","84",".464","11","28",".393","19","24",".792","13","51","22","10","5","11","18","82.7","120.7","89.5",".234",".481",".436","42.0","74.1","7.8","12.5","",".403","16.7","20.8",".156","",".530","10.4","67.5",".226"
"68","68","2019-03-15","","LAL","W","111","97","37","86",".430","17","39",".436","20","32",".625","16","50","26","5","4","14","19","","36","86",".419","6","25",".240","19","26",".731","11","47","24","9","4","14","26","114.4","100.0","97.0",".372",".453",".555","51.5","70.3","5.2","6.6","",".529","12.3","30.8",".233","",".453","12.6","75.6",".221"
