"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"11","11","2018-11-05","@","UTA","W","124","111","49","86",".570","13","33",".394","13","14",".929","7","43","21","9","3","14","28","","38","86",".442","8","31",".258","27","41",".659","12","40","29","10","4","12","19","124.5","111.4","99.6",".163",".384",".673","51.8","42.9","9.0","5.5","",".645","13.2","20.0",".151","",".488","10.3","75.0",".314"
"12","12","2018-11-07","@","SAC","W","114","105","41","89",".461","11","36",".306","21","23",".913","13","53","17","10","4","20","20","","42","88",".477","8","23",".348","13","18",".722","6","31","27","10","5","15","26","111.5","102.7","102.2",".258",".404",".575","63.1","41.5","9.8","6.2","",".522","16.8","34.2",".236","",".523","13.5","87.0",".148"
"13","13","2018-11-10","","NYK","W","128","112","42","79",".532","14","35",".400","30","40",".750","12","46","24","8","4","15","20","","44","96",".458","6","22",".273","18","22",".818","16","47","18","12","6","14","26","128.0","112.0","100.0",".506",".443",".663","49.5","57.1","8.0","5.4","",".620","13.4","27.9",".380","",".490","11.7","68.0",".188"
"14","14","2018-11-12","","NOP","L","110","126","39","97",".402","13","45",".289","19","22",".864","13","43","22","9","5","10","20","","54","99",".545","10","27",".370","8","13",".615","14","54","30","2","4","13","20","108.7","124.5","101.2",".227",".464",".516","44.3","56.4","8.9","6.9","",".469","8.6","24.5",".196","",".596","11.0","68.2",".081"
"15","15","2018-11-14","","DET","L","104","106","45","92",".489","4","20",".200","10","17",".588","12","49","23","9","3","20","19","","44","91",".484","10","33",".303","8","13",".615","7","39","24","8","5","17","24","98.9","100.8","105.1",".185",".217",".523","55.7","51.1","8.6","5.2","",".511","16.7","27.3",".109","",".538","14.9","84.1",".088"
"16","16","2018-11-16","@","BOS","L","116","123","42","97",".433","8","29",".276","24","29",".828","11","43","20","12","4","13","23","","47","89",".528","9","26",".346","20","24",".833","9","46","25","9","6","18","23","108.0","114.5","97.3",".299",".299",".528","48.3","47.6","11.2","6.3","",".474","10.6","22.9",".247","",".579","15.3","78.0",".225"
"17","17","2018-11-17","@","CHI","W","122","83","48","89",".539","14","35",".400","12","13",".923","8","54","31","14","10","23","24","","30","86",".349","8","27",".296","15","21",".714","7","34","21","13","3","22","19","113.1","77.0","107.8",".146",".393",".644","61.4","64.6","13.0","16.9","",".618","19.5","22.9",".135","",".395","18.8","86.8",".174"
"18","18","2018-11-20","@","ORL","W","93","91","39","87",".448","9","34",".265","6","8",".750","6","43","23","7","5","16","19","","34","84",".405","8","30",".267","15","19",".789","11","49","24","5","4","14","11","96.6","94.5","96.3",".092",".391",".514","46.7","59.0","7.3","9.3","",".500","15.0","13.6",".069","",".452","13.2","77.1",".179"
"19","19","2018-11-21","@","ATL","W","124","108","48","90",".533","11","29",".379","17","23",".739","14","55","33","6","1","17","21","","42","93",".452","10","36",".278","14","18",".778","9","34","24","10","7","9","21","124.3","108.3","99.7",".256",".322",".619","61.8","68.8","6.0","1.8","",".594","14.5","35.9",".189","",".505","8.2","82.0",".151"
"20","20","2018-11-23","","WAS","W","125","107","46","93",".495","17","39",".436","16","19",".842","13","50","32","5","6","15","23","","40","100",".400","9","46",".196","18","19",".947","14","44","28","8","7","12","16","123.5","105.7","101.2",".204",".419",".617","53.2","69.6","4.9","11.1","",".586","12.9","30.2",".172","",".445","10.0","72.5",".180"
"21","21","2018-11-25","","MIA","W","125","115","47","90",".522","11","35",".314","20","25",".800","11","47","25","4","7","9","21","","39","95",".411","15","36",".417","22","32",".688","17","46","21","6","5","7","22","130.3","119.8","96.0",".278",".389",".619","50.5","53.2","4.2","11.9","",".583","8.2","27.5",".222","",".489","6.0","67.9",".232"
"22","22","2018-11-27","@","MEM","W","122","114","42","69",".609","18","33",".545","20","28",".714","4","31","25","5","5","15","18","","43","85",".506","10","29",".345","18","21",".857","11","35","27","9","5","13","23","132.3","123.6","92.2",".406",".478",".750","47.0","59.5","5.4","8.9","",".739","15.6","14.3",".290","",".565","12.1","71.1",".212"
"23","23","2018-11-29","","GSW","W","131","128","47","90",".522","15","38",".395","22","24",".917","7","37","25","5","6","14","23","","50","103",".485","11","30",".367","17","20",".850","17","46","27","6","5","14","22","125.3","122.4","94.7",".267",".422",".651","44.6","53.2","4.8","8.2","",".606","12.2","19.4",".244","",".539","11.1","63.8",".165"
"24","24","2018-12-01","@","CLE","W","106","95","39","80",".488","7","26",".269","21","25",".840","6","42","15","5","5","10","19","","34","88",".386","5","22",".227","22","25",".880","11","44","14","6","0","11","23","112.3","100.7","94.4",".313",".325",".582","48.8","38.5","5.3","7.6","",".531","9.9","15.4",".263","",".415","10.0","76.6",".250"
