"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"31","31","2018-12-16","","ATL","W","144","127","49","88",".557","16","40",".400","30","33",".909","10","39","34","12","3","13","21","","47","85",".553","14","29",".483","19","25",".760","8","33","38","9","5","14","22","142.2","125.4","101.2",".375",".455",".702","54.2","69.4","11.9","5.4","",".648","11.3","28.6",".341","",".635","12.7","78.4",".224"
"32","32","2018-12-18","","LAL","W","115","110","44","91",".484","14","34",".412","13","19",".684","4","40","27","5","4","11","18","","42","90",".467","13","40",".325","13","23",".565","8","48","21","6","4","14","19","110.1","105.3","104.4",".209",".374",".579","45.5","61.4","4.8","8.0","",".560","10.0","9.1",".143","",".539","12.3","81.8",".144"
"33","33","2018-12-19","@","CHI","W","96","93","34","74",".459","8","25",".320","20","25",".800","7","45","23","3","2","13","14","","40","91",".440","6","19",".316","7","10",".700","9","39","21","7","5","8","22","105.8","102.5","90.7",".338",".338",".565","53.6","67.6","3.3","2.8","",".514","13.3","18.9",".270","",".473","7.7","80.9",".077"
"34","34","2018-12-21","","IND","L","106","114","33","72",".458","16","31",".516","24","34",".706","11","41","28","5","3","20","23","","44","82",".537","11","26",".423","15","18",".833","6","29","24","10","8","11","26","114.3","122.9","92.8",".472",".431",".609","58.6","84.8","5.4","5.4","",".569","18.7","32.4",".333","",".604","10.9","83.3",".183"
"35","35","2018-12-23","","PHO","W","111","103","40","85",".471","10","27",".370","21","33",".636","14","49","25","7","4","17","15","","43","89",".483","3","17",".176","14","16",".875","10","41","24","10","5","12","27","112.9","104.7","98.3",".388",".318",".558","54.4","62.5","7.1","5.6","",".529","14.6","31.1",".247","",".500","11.1","77.8",".157"
"36","36","2018-12-26","","CHO","W","134","132","51","104",".490","19","47",".404","13","18",".722","10","57","31","8","7","17","26","","47","106",".443","15","31",".484","23","30",".767","12","53","26","8","3","13","20","113.9","112.2","97.3",".173",".452",".599","51.8","60.8","6.8","9.3","",".582","13.2","19.6",".125","",".514","9.8","79.7",".217"
"37","37","2018-12-28","@","CHO","L","87","100","33","83",".398","4","27",".148","17","20",".850","9","48","15","4","10","14","20","","41","100",".410","11","33",".333","7","10",".700","12","49","19","4","8","8","22","90.8","104.3","95.8",".241",".325",".474","49.5","45.5","4.2","14.9","",".422","13.2","19.6",".205","",".465","7.1","76.5",".070"
"38","38","2018-12-29","@","MIL","L","115","129","38","79",".481","15","35",".429","24","35",".686","5","40","28","6","3","14","17","","47","96",".490","21","51",".412","14","16",".875","5","39","30","6","5","10","22","111.0","124.5","103.6",".443",".443",".609","50.6","73.7","5.8","6.7","",".576","12.9","12.8",".304","",".599","8.8","87.5",".146"
"39","39","2019-01-02","","NOP","W","126","121","47","93",".505","16","31",".516","16","21",".762","12","43","27","7","5","10","23","","46","87",".529","10","23",".435","19","27",".704","10","41","19","7","5","12","20","128.1","123.0","98.4",".226",".333",".616","51.2","57.4","7.1","7.8","",".591","8.9","27.9",".172","",".586","10.8","75.6",".218"
"40","40","2019-01-04","@","MEM","W","109","100","36","79",".456","13","34",".382","24","26",".923","8","45","25","6","2","20","19","","42","93",".452","5","24",".208","11","15",".733","8","40","23","9","5","13","24","107.7","98.8","101.2",".329",".430",".603","52.9","69.4","5.9","2.9","",".538","18.1","20.0",".304","",".478","11.5","82.2",".118"
