"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"50","50","2019-01-27","@","LAC","L","108","122","37","93",".398","8","36",".222","26","30",".867","15","44","18","12","6","12","26","","42","88",".477","11","29",".379","27","29",".931","14","52","35","6","1","18","28","107.1","121.0","100.8",".323",".387",".508","45.8","48.6","11.9","10.2","",".441","10.2","28.3",".280","",".540","15.2","67.4",".307"
"51","51","2019-01-30","","ATL","W","135","113","54","99",".545","11","35",".314","16","21",".762","15","53","36","7","2","14","24","","38","86",".442","16","46",".348","21","25",".840","9","36","24","7","3","20","19","128.3","107.4","105.2",".212",".354",".624","59.6","66.7","6.7","5.0","",".601","11.5","35.7",".162","",".535","17.1","80.9",".244"
"52","52","2019-02-02","","PHI","W","115","108","42","92",".457","11","30",".367","20","24",".833","12","50","22","9","2","16","19","","41","93",".441","7","33",".212","19","25",".760","14","46","19","9","5","13","22","112.7","105.9","102.0",".261",".326",".561","52.1","52.4","8.8","3.3","",".516","13.5","27.3",".217","",".478","11.1","73.1",".204"
"53","53","2019-02-04","","SAS","W","127","112","50","90",".556","13","32",".406","14","23",".609","8","48","26","5","5","8","18","","42","98",".429","9","32",".281","19","21",".905","15","46","18","6","3","8","20","129.3","114.0","98.2",".256",".356",".634","51.1","52.0","5.1","7.6","",".628","7.4","20.5",".156","",".474","6.9","72.7",".194"
"54","54","2019-02-06","","HOU","L","101","127","39","91",".429","11","33",".333","12","20",".600","20","54","21","5","6","22","22","","45","100",".450","20","51",".392","17","18",".944","13","42","17","13","7","11","19","100.9","126.9","100.1",".220",".363",".506","56.3","53.8","5.0","12.2","",".489","18.1","40.8",".132","",".550","9.2","72.3",".170"
"55","55","2019-02-08","","MIA","W","102","96","37","90",".411","9","26",".346","19","25",".760","10","46","18","11","5","13","17","","38","88",".432","11","33",".333","9","19",".474","11","49","26","6","8","18","21","100.9","94.9","101.1",".278",".289",".505","48.4","48.6","10.9","9.1","",".461","11.4","20.8",".211","",".494","15.7","76.6",".102"
"56","56","2019-02-10","","PHO","W","117","104","38","84",".452","9","31",".290","32","44",".727","11","49","26","12","11","12","21","","38","91",".418","6","27",".222","22","30",".733","15","54","22","5","4","17","31","113.2","100.6","103.4",".524",".369",".566","47.6","68.4","11.6","17.2","",".506","10.4","22.0",".381","",".451","14.0","71.7",".242"
"57","57","2019-02-13","@","DEN","L","118","120","42","93",".452","11","32",".344","23","28",".821","10","44","30","12","1","12","23","","45","99",".455","8","31",".258","22","25",".880","14","53","26","7","1","13","19","112.3","114.2","105.1",".301",".344",".560","45.4","71.4","11.4","1.5","",".511","10.2","20.4",".247","",".495","10.6","70.8",".222"
"58","58","2019-02-21","@","GSW","L","123","125","43","99",".434","10","33",".303","27","34",".794","14","52","23","10","3","13","24","","43","94",".457","19","46",".413","20","24",".833","8","49","32","5","11","15","26","112.1","113.9","109.7",".343",".333",".540","51.5","53.5","9.1","6.3","",".485","10.2","25.5",".273","",".559","12.5","82.6",".213"
"59","59","2019-02-23","@","OKC","W","119","116","44","97",".454","7","19",".368","24","34",".706","7","47","24","7","7","9","21","","40","105",".381","14","46",".304","22","28",".786","16","59","17","2","6","14","26","107.2","104.5","111.0",".351",".196",".531","44.3","54.5","6.3","11.9","",".490","7.4","14.0",".247","",".448","10.7","71.4",".210"
"60","60","2019-02-25","@","MIN","L","105","112","37","95",".389","9","26",".346","22","29",".759","14","44","20","13","2","19","27","","42","83",".506","8","31",".258","20","28",".714","7","49","23","10","6","22","28","96.3","102.8","109.0",".305",".274",".487","47.3","54.1","11.9","3.8","",".437","15.0","25.0",".232","",".554","18.8","81.1",".241"
"61","61","2019-02-27","","MIL","L","140","141","53","118",".449","12","33",".364","22","30",".733","15","58","30","6","6","8","19","","54","112",".482","17","45",".378","16","21",".762","11","57","36","3","14","11","18","116.8","117.7","108.5",".254",".280",".534","50.4","56.6","5.0","9.0","",".500","5.7","24.6",".186","",".558","8.3","79.6",".143"
"62","62","2019-03-01","","LAC","L","109","116","41","93",".441","6","21",".286","21","25",".840","8","46","27","6","8","8","25","","40","92",".435","12","31",".387","24","33",".727","16","58","19","4","6","11","23","108.0","115.0","100.9",".269",".226",".524","44.2","65.9","5.9","13.1","",".473","7.1","16.0",".226","",".500","9.4","70.4",".261"
"63","63","2019-03-04","","NYK","W","115","108","39","83",".470","11","29",".379","26","33",".788","6","43","28","11","3","13","24","","39","85",".459","12","29",".414","18","28",".643","10","48","17","8","5","17","25","111.9","105.1","102.8",".398",".349",".590","47.3","71.8","10.7","5.4","",".536","11.8","13.6",".313","",".529","14.9","78.7",".212"
"64","64","2019-03-06","","BOS","L","109","111","40","80",".500","13","29",".448","16","22",".727","6","40","23","8","4","15","21","","40","79",".506","13","33",".394","18","21",".857","3","35","26","11","1","17","22","110.1","112.1","99.0",".275",".363",".608","53.3","57.5","8.1","8.7","",".581","14.3","15.8",".200","",".589","16.2","91.9",".228"
"65","65","2019-03-09","@","NYK","W","102","94","36","95",".379","12","36",".333","18","22",".818","11","53","16","5","3","7","14","","35","94",".372","10","35",".286","14","21",".667","13","58","16","3","5","9","20","104.7","96.5","97.4",".232",".379",".487","47.7","44.4","5.1","5.1","",".442","6.3","19.6",".189","",".426","8.0","76.4",".149"
"66","66","2019-03-11","@","WAS","L","115","121","41","91",".451","9","27",".333","24","32",".750","9","47","28","8","3","16","25","","40","86",".465","14","37",".378","27","33",".818","7","47","29","12","1","17","25","105.3","110.7","109.3",".352",".297",".547","50.0","68.3","7.3","6.1","",".500","13.2","18.4",".264","",".547","14.5","84.4",".314"
"67","67","2019-03-14","@","BOS","L","120","126","48","95",".505","11","34",".324","13","23",".565","8","47","31","9","2","10","24","","49","97",".505","9","28",".321","19","26",".731","10","52","32","7","2","13","20","111.1","116.6","108.0",".242",".358",".571","47.5","64.6","8.3","2.9","",".563","8.7","16.0",".137","",".552","10.7","79.6",".196"
"68","68","2019-03-15","@","PHI","L","114","123","43","94",".457","9","27",".333","19","24",".792","10","40","23","4","2","8","22","","46","91",".505","7","24",".292","24","27",".889","10","49","28","7","6","10","18","113.9","122.9","100.1",".255",".287",".545","44.9","53.5","4.0","3.0","",".505","7.1","20.4",".202","",".544","8.9","75.0",".264"
"69","69","2019-03-17","","CHI","W","129","102","54","103",".524","8","23",".348","13","16",".813","15","48","28","12","7","10","21","","39","88",".443","10","26",".385","14","21",".667","10","39","20","6","6","19","16","126.0","99.6","102.4",".155",".223",".586","55.2","51.9","11.7","11.3","",".563","8.3","34.1",".126","",".500","16.3","76.7",".159"
"70","70","2019-03-19","","BRK","L","121","123","49","95",".516","9","25",".360","14","20",".700","14","46","25","13","1","20","19","","47","94",".500","12","35",".343","17","23",".739","11","41","28","16","4","18","19","112.2","114.1","107.8",".211",".263",".583","52.9","51.0","12.1","1.7","",".563","16.2","31.8",".147","",".564","14.7","74.4",".181"
"71","71","2019-03-21","","DAL","W","116","100","41","87",".471","13","35",".371","21","28",".750","12","58","24","7","9","12","18","","36","92",".391","12","40",".300","16","23",".696","9","43","23","5","6","7","22","118.5","102.2","97.9",".322",".402",".584","57.4","58.5","7.2","17.3","",".546","10.8","26.1",".241","",".457","6.4","83.6",".174"
"72","72","2019-03-23","","PHO","W","112","103","39","92",".424","17","38",".447","17","22",".773","13","51","25","7","3","14","19","","36","88",".409","9","34",".265","22","26",".846","10","43","25","10","4","14","21","112.2","103.2","99.8",".239",".413",".551","54.3","64.1","7.0","5.6","",".516","12.1","28.3",".185","",".460","12.3","79.2",".250"
"73","73","2019-03-24","@","LAL","L","106","111","39","104",".375","14","33",".424","14","23",".609","16","50","27","13","4","7","22","","39","85",".459","13","40",".325","20","24",".833","9","56","29","4","8","20","22","102.5","107.3","103.4",".221",".317",".464","47.2","69.2","12.6","8.9","",".442","5.8","25.4",".135","",".535","17.3","79.1",".235"
"74","74","2019-03-26","@","DAL","W","125","121","44","87",".506","10","23",".435","27","32",".844","12","37","27","4","1","7","23","","39","77",".506","15","45",".333","28","32",".875","7","38","27","1","6","11","26","134.5","130.2","92.9",".368",".264",".618","49.3","61.4","4.3","3.1","",".563","6.5","27.9",".310","",".604","10.8","78.1",".364"
"75","75","2019-03-28","@","NOP","L","118","121","47","95",".495","10","23",".435","14","16",".875","8","44","28","6","10","12","19","","49","97",".505","9","28",".321","14","14","1.000","8","45","27","6","6","12","16","112.6","115.5","104.8",".168",".242",".578","49.4","59.6","5.7","14.5","",".547","10.5","17.8",".147","",".552","10.4","81.8",".144"
"76","76","2019-03-30","@","HOU","L","108","119","42","94",".447","15","29",".517","9","15",".600","16","49","28","3","4","12","17","","39","83",".470","17","52",".327","24","27",".889","6","38","19","6","2","9","17","114.3","125.9","94.5",".160",".309",".537","56.3","66.7","3.2","12.9","",".527","10.7","33.3",".096","",".572","8.7","84.6",".289"
"77","77","2019-03-31","@","SAS","W","113","106","39","81",".481","11","25",".440","24","28",".857","7","42","20","9","1","12","15","","44","94",".468","8","27",".296","10","14",".714","15","42","24","7","3","11","22","119.3","111.9","94.7",".346",".309",".605","50.0","51.3","9.5","1.5","",".549","11.4","20.6",".296","",".511","9.9","70.0",".106"
"78","78","2019-04-02","","HOU","L","105","130","42","95",".442","7","23",".304","14","20",".700","16","51","19","3","4","11","15","","46","94",".489","26","61",".426","12","17",".706","8","43","30","8","3","7","20","108.0","133.7","97.2",".211",".242",".506","54.3","45.2","3.1","12.1","",".479","9.6","31.4",".147","",".628","6.5","81.4",".128"
"79","79","2019-04-04","","CLE","W","117","104","48","97",".495","14","38",".368","7","10",".700","8","36","28","12","3","6","14","","44","81",".543","11","25",".440","5","9",".556","10","50","20","3","1","20","13","121.6","108.1","96.2",".103",".392",".577","41.9","58.3","12.5","5.4","",".567","5.6","16.7",".072","",".611","19.1","73.7",".062"
"80","80","2019-04-05","@","UTA","L","98","119","38","92",".413","5","21",".238","17","25",".680","12","47","17","7","1","18","23","","44","85",".518","15","33",".455","16","25",".640","7","46","30","9","6","16","26","93.3","113.3","105.0",".272",".228",".476","50.5","44.7","6.7","1.9","",".440","14.9","23.5",".185","",".606","14.3","83.3",".188"
"81","81","2019-04-07","","NOP","L","129","133","50","109",".459","16","40",".400","13","17",".765","16","47","27","10","4","6","13","","52","101",".515","19","42",".452","10","12",".833","14","55","28","4","11","15","16","123.7","127.5","104.3",".156",".367",".554","46.1","54.0","9.6","6.8","",".532","4.9","28.1",".119","",".609","12.4","68.9",".099"
"82","82","2019-04-10","@","POR","L","131","136","50","96",".521","18","43",".419","13","16",".813","12","35","25","5","1","10","17","","53","91",".582","14","24",".583","16","22",".727","14","44","19","5","2","12","17","134.5","139.7","97.4",".167",".448",".636","44.3","50.0","5.1","1.5","",".615","8.8","28.6",".135","",".659","10.6","62.2",".176"
