"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"11","11","2018-11-05","","HOU","L","94","98","33","75",".440","8","28",".286","20","30",".667","7","39","17","8","3","15","15","","34","76",".447","15","47",".319","15","16",".938","5","39","23","9","6","16","24","100.7","105.0","93.3",".400",".373",".533","50.0","51.5","8.6","10.3","",".493","14.5","17.1",".267","",".546","16.2","86.5",".197"
"12","12","2018-11-07","","PHI","L","94","100","37","94",".394","8","31",".258","12","17",".706","8","41","19","9","6","9","21","","36","79",".456","10","32",".313","18","22",".818","5","43","24","7","8","16","18","95.5","101.6","98.5",".181",".330",".463","48.8","51.4","9.1","12.8","",".436","8.1","17.4",".128","",".519","15.3","86.8",".228"
"13","13","2018-11-09","@","MIA","W","110","102","43","79",".544","7","20",".350","17","29",".586","6","39","20","10","5","18","26","","36","80",".450","14","27",".519","16","27",".593","9","38","27","6","6","23","27","106.9","99.2","102.9",".367",".253",".599","50.6","46.5","9.7","9.4","",".589","16.4","17.1",".215","",".538","20.0","78.6",".200"
"14","14","2018-11-11","@","HOU","L","103","115","36","78",".462","11","29",".379","20","26",".769","5","35","24","10","6","13","22","","36","74",".486","20","47",".426","23","32",".719","8","38","18","6","5","15","22","109.4","122.2","94.1",".333",".372",".576","47.9","66.7","10.6","22.2","",".532","12.7","14.3",".256","",".622","14.6","78.9",".311"
"15","15","2018-11-16","","MIA","W","99","91","36","81",".444","14","27",".519","13","15",".867","4","47","22","10","6","19","14","","35","93",".376","14","36",".389","7","10",".700","13","51","21","10","5","16","16","99.0","91.0","100.0",".185",".333",".565","48.0","61.1","10.0","10.5","",".531","17.8","9.5",".160","",".452","14.1","76.8",".075"
"16","16","2018-11-17","","ATL","W","97","89","35","87",".402","12","30",".400","15","21",".714","10","53","25","11","6","22","26","","31","87",".356","8","29",".276","19","27",".704","5","41","20","15","6","18","24","90.3","82.8","107.4",".241",".345",".504","56.4","71.4","10.2","10.3","",".471","18.6","21.7",".172","",".402","15.4","89.6",".218"
"17","17","2018-11-19","","UTA","W","121","94","49","93",".527","12","25",".480","11","17",".647","11","44","35","13","3","9","17","","36","74",".486","11","25",".440","11","16",".688","3","36","26","6","10","18","18","126.0","97.9","96.0",".183",".269",".602","55.0","71.4","13.5","6.1","",".591","8.2","25.0",".118","",".561","18.2","91.7",".149"
"18","18","2018-11-21","@","CHO","L","109","127","41","84",".488","11","33",".333","16","17",".941","10","37","26","5","7","14","19","","45","80",".563","18","29",".621","19","22",".864","6","36","30","7","3","12","15","116.4","135.6","93.6",".202",".393",".596","50.7","63.4","5.3","13.7","",".554","13.3","25.0",".190","",".675","11.8","81.8",".238"
"19","19","2018-11-23","","SAS","L","100","111","46","99",".465","3","24",".125","5","9",".556","11","45","31","9","2","12","22","","42","83",".506","10","21",".476","17","24",".708","9","46","28","3","4","15","19","100.0","111.0","100.0",".091",".242",".486","49.5","67.4","9.0","3.2","",".480","10.4","22.9",".051","",".566","13.8","79.1",".205"
"20","20","2018-11-26","@","UTA","W","121","88","49","84",".583","9","18",".500","14","17",".824","4","39","33","13","4","16","17","","34","81",".420","8","31",".258","12","17",".706","10","38","25","10","4","17","17","123.6","89.9","97.9",".202",".214",".661","50.6","67.3","13.3","8.0","",".637","14.9","12.5",".167","",".469","16.1","77.8",".148"
"21","21","2018-11-27","@","PHO","W","109","104","38","90",".422","11","26",".423","22","29",".759","17","55","25","8","6","12","13","","41","92",".446","10","30",".333","12","18",".667","12","45","20","8","6","8","17","115.5","110.2","94.4",".322",".289",".530","55.0","65.8","8.5","9.7","",".483","10.5","34.0",".244","",".500","7.4","76.0",".130"
"22","22","2018-11-29","@","LAL","L","96","104","32","86",".372","10","23",".435","22","27",".815","10","44","23","14","4","17","22","","42","86",".488","7","24",".292","13","23",".565","11","50","25","8","11","18","23","94.3","102.1","101.8",".314",".267",".490","46.8","71.9","13.7","6.5","",".430","14.8","20.4",".256","",".529","15.8","75.6",".151"
"23","23","2018-12-01","@","SAC","L","110","111","43","82",".524","10","24",".417","14","18",".778","6","42","32","11","5","25","26","","41","91",".451","13","29",".448","16","24",".667","14","46","25","10","3","20","16","103.2","104.1","106.6",".220",".293",".612","47.7","74.4","10.3","8.1","",".585","21.8","15.8",".171","",".522","16.5","72.0",".176"
"24","24","2018-12-04","","CHI","W","96","90","35","76",".461","6","22",".273","20","24",".833","6","45","22","10","6","18","13","","37","94",".394","11","31",".355","5","5","1.000","12","44","26","8","2","18","23","97.8","91.7","98.2",".316",".289",".555","50.6","62.9","10.2","9.5","",".500","17.2","15.8",".263","",".452","15.8","76.5",".053"
"25","25","2018-12-07","@","ORL","W","112","90","44","93",".473","9","26",".346","15","18",".833","11","53","26","8","8","9","17","","36","89",".404","8","33",".242","10","13",".769","9","47","20","3","7","14","18","114.5","92.0","97.8",".194",".280",".555","53.0","59.1","8.2","14.3","",".522","8.2","22.4",".161","",".449","12.9","82.4",".112"
"26","26","2018-12-08","","SAC","W","107","97","40","92",".435","8","30",".267","19","22",".864","15","52","26","7","8","15","17","","38","90",".422","9","32",".281","12","15",".800","12","43","24","9","8","13","21","110.9","100.5","96.5",".239",".326",".526","54.7","65.0","7.3","13.8","",".478","12.9","32.6",".207","",".472","11.9","75.5",".133"
"27","27","2018-12-10","","WAS","W","109","101","41","76",".539","10","20",".500","17","22",".773","7","50","29","7","7","23","25","","37","88",".420","10","30",".333","17","24",".708","6","34","22","13","3","12","22","107.3","99.4","101.6",".289",".263",".636","59.5","70.7","6.9","12.1","",".605","21.2","20.0",".224","",".477","10.9","87.8",".193"
